<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.29	10:15:00	1.15306	1.15455	1.15305	1.15365	1501	0	1
2025.07.29	10:30:00	1.15364	1.15419	1.15314	1.15410	1122	0	1
2025.07.29	10:45:00	1.15411	1.15550	1.15394	1.15550	1149	0	1
2025.07.29	11:00:00	1.15549	1.15676	1.15526	1.15668	1232	0	1
2025.07.29	11:15:00	1.15667	1.15695	1.15636	1.15650	938	0	1
2025.07.29	11:30:00	1.15647	1.15691	1.15609	1.15655	860	0	1
2025.07.29	11:45:00	1.15655	1.15695	1.15629	1.15693	1038	0	1
2025.07.29	12:00:00	1.15693	1.15756	1.15631	1.15711	1114	0	1
2025.07.29	12:15:00	1.15711	1.15828	1.15701	1.15824	927	0	1
2025.07.29	12:30:00	1.15822	1.15849	1.15789	1.15839	783	0	1
2025.07.29	12:45:00	1.15838	1.15845	1.15739	1.15768	918	0	1
2025.07.29	13:00:00	1.15767	1.15785	1.15738	1.15783	895	0	1
2025.07.29	13:15:00	1.15782	1.15878	1.15762	1.15877	741	0	1
2025.07.29	13:30:00	1.15880	1.15885	1.15777	1.15786	648	0	1
2025.07.29	13:45:00	1.15786	1.15803	1.15727	1.15742	703	0	1
2025.07.29	14:00:00	1.15741	1.15751	1.15655	1.15672	780	0	1
2025.07.29	14:15:00	1.15672	1.15682	1.15615	1.15626	888	0	1
2025.07.29	14:30:00	1.15626	1.15627	1.15391	1.15452	1372	0	1
2025.07.29	14:45:00	1.15452	1.15501	1.15374	1.15402	1354	0	1
2025.07.29	15:00:00	1.15401	1.15422	1.15327	1.15348	1093	0	1
2025.07.29	15:15:00	1.15348	1.15379	1.15302	1.15345	1168	0	1
2025.07.29	15:30:00	1.15345	1.15347	1.15283	1.15313	1144	0	1
2025.07.29	15:45:00	1.15313	1.15370	1.15248	1.15248	949	0	1
2025.07.29	16:00:00	1.15248	1.15308	1.15191	1.15199	1099	0	1
2025.07.29	16:15:00	1.15198	1.15303	1.15194	1.15285	1006	0	1
2025.07.29	16:30:00	1.15284	1.15334	1.15195	1.15293	1533	0	1
2025.07.29	16:45:00	1.15292	1.15469	1.15292	1.15455	1473	0	1
2025.07.29	17:00:00	1.15453	1.15516	1.15277	1.15292	2165	0	1
2025.07.29	17:15:00	1.15295	1.15429	1.15227	1.15360	1668	0	1
2025.07.29	17:30:00	1.15359	1.15461	1.15323	1.15380	1780	0	1
2025.07.29	17:45:00	1.15380	1.15380	1.15216	1.15229	2358	0	1
2025.07.29	18:00:00	1.15230	1.15321	1.15221	1.15305	1585	0	1
2025.07.29	18:15:00	1.15305	1.15381	1.15288	1.15376	1141	0	1
2025.07.29	18:30:00	1.15375	1.15411	1.15303	1.15306	1180	0	1
2025.07.29	18:45:00	1.15308	1.15370	1.15275	1.15335	981	0	1
2025.07.29	19:00:00	1.15336	1.15411	1.15336	1.15405	858	0	1
2025.07.29	19:15:00	1.15405	1.15467	1.15403	1.15441	1011	0	1
2025.07.29	19:30:00	1.15441	1.15466	1.15418	1.15465	724	0	1
2025.07.29	19:45:00	1.15464	1.15495	1.15415	1.15415	823	0	1
2025.07.29	20:00:00	1.15414	1.15493	1.15401	1.15486	946	0	1
2025.07.29	20:15:00	1.15485	1.15606	1.15485	1.15521	1199	0	1
2025.07.29	20:30:00	1.15518	1.15522	1.15454	1.15476	719	0	1
2025.07.29	20:45:00	1.15478	1.15499	1.15403	1.15417	806	0	1
2025.07.29	21:00:00	1.15418	1.15451	1.15376	1.15406	923	0	1
2025.07.29	21:15:00	1.15408	1.15456	1.15408	1.15440	631	0	1
2025.07.29	21:30:00	1.15440	1.15486	1.15436	1.15474	685	0	1
2025.07.29	21:45:00	1.15474	1.15506	1.15453	1.15505	653	0	1
2025.07.29	22:00:00	1.15505	1.15531	1.15489	1.15530	566	0	1
2025.07.29	22:15:00	1.15530	1.15575	1.15523	1.15565	490	0	1
2025.07.29	22:30:00	1.15564	1.15569	1.15519	1.15529	525	0	1
2025.07.29	22:45:00	1.15527	1.15540	1.15498	1.15499	393	0	1
2025.07.29	23:00:00	1.15498	1.15526	1.15497	1.15515	342	0	1
2025.07.29	23:15:00	1.15515	1.15520	1.15478	1.15498	288	0	1
