<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.05	16:30:00	1.17207	1.17400	1.17174	1.17344	5033	0	0
2025.09.05	16:45:00	1.17346	1.17502	1.17346	1.17487	4835	0	1
2025.09.05	17:00:00	1.17488	1.17593	1.17410	1.17447	4934	0	0
2025.09.05	17:15:00	1.17445	1.17481	1.17331	1.17338	4993	0	1
2025.09.05	17:30:00	1.17337	1.17384	1.17227	1.17301	5179	0	1
2025.09.05	17:45:00	1.17304	1.17370	1.17254	1.17363	4777	0	1
2025.09.05	18:00:00	1.17365	1.17487	1.17347	1.17481	4354	0	1
2025.09.05	18:15:00	1.17481	1.17512	1.17416	1.17445	3757	0	1
2025.09.05	18:30:00	1.17445	1.17528	1.17425	1.17520	3034	0	1
2025.09.05	18:45:00	1.17522	1.17593	1.17508	1.17580	3547	0	1
2025.09.05	19:00:00	1.17581	1.17594	1.17526	1.17573	3074	0	1
2025.09.05	19:15:00	1.17573	1.17583	1.17494	1.17512	2516	0	1
2025.09.05	19:30:00	1.17510	1.17515	1.17414	1.17453	2651	0	1
2025.09.05	19:45:00	1.17452	1.17453	1.17364	1.17387	2701	0	1
2025.09.05	20:00:00	1.17389	1.17391	1.17258	1.17290	3018	0	1
2025.09.05	20:15:00	1.17289	1.17344	1.17286	1.17317	2413	0	1
2025.09.05	20:30:00	1.17318	1.17360	1.17292	1.17319	2259	0	1
2025.09.05	20:45:00	1.17320	1.17354	1.17245	1.17259	2510	0	1
2025.09.05	21:00:00	1.17257	1.17264	1.17209	1.17220	2269	0	0
2025.09.05	21:15:00	1.17226	1.17236	1.17174	1.17188	1961	0	1
2025.09.05	21:30:00	1.17189	1.17202	1.17143	1.17153	2216	0	1
2025.09.05	21:45:00	1.17155	1.17176	1.17144	1.17169	2127	0	1
2025.09.05	22:00:00	1.17171	1.17230	1.17169	1.17197	2389	0	1
2025.09.05	22:15:00	1.17195	1.17225	1.17184	1.17190	1713	0	1
2025.09.05	22:30:00	1.17190	1.17192	1.17148	1.17152	1617	0	1
2025.09.05	22:45:00	1.17151	1.17181	1.17128	1.17179	1991	0	1
2025.09.05	23:00:00	1.17180	1.17192	1.17146	1.17183	1222	0	1
2025.09.05	23:15:00	1.17182	1.17202	1.17171	1.17174	977	0	1
2025.09.05	23:30:00	1.17174	1.17219	1.17167	1.17212	1247	0	1
2025.09.05	23:45:00	1.17212	1.17218	1.17117	1.17117	1505	0	1
2025.09.08	00:00:00	1.17074	1.17169	1.17060	1.17166	101	0	18
2025.09.08	00:15:00	1.17167	1.17172	1.17152	1.17172	60	0	20
2025.09.08	00:30:00	1.17170	1.17178	1.17166	1.17178	214	0	11
2025.09.08	00:45:00	1.17176	1.17181	1.17172	1.17176	208	0	8
2025.09.08	01:00:00	1.17176	1.17201	1.17083	1.17094	1618	0	3
2025.09.08	01:15:00	1.17094	1.17136	1.17092	1.17110	1572	0	1
2025.09.08	01:30:00	1.17109	1.17115	1.17043	1.17050	1942	0	1
2025.09.08	01:45:00	1.17051	1.17075	1.17034	1.17057	1433	0	1
2025.09.08	02:00:00	1.17058	1.17100	1.17055	1.17080	1380	0	1
2025.09.08	02:15:00	1.17080	1.17104	1.17066	1.17102	1428	0	1
2025.09.08	02:30:00	1.17102	1.17143	1.17087	1.17140	1267	0	1
2025.09.08	02:45:00	1.17139	1.17159	1.17108	1.17122	2247	0	1
2025.09.08	03:00:00	1.17122	1.17127	1.17047	1.17066	3017	0	1
2025.09.08	03:15:00	1.17067	1.17106	1.17048	1.17102	2687	0	1
2025.09.08	03:30:00	1.17103	1.17108	1.17055	1.17060	1751	0	1
2025.09.08	03:45:00	1.17061	1.17131	1.17050	1.17127	2517	0	1
2025.09.08	04:00:00	1.17127	1.17175	1.17127	1.17148	2738	0	1
2025.09.08	04:15:00	1.17149	1.17152	1.17087	1.17101	2588	0	1
2025.09.08	04:30:00	1.17101	1.17139	1.17073	1.17086	2503	0	1
2025.09.08	04:45:00	1.17085	1.17149	1.17076	1.17128	2887	0	1
2025.09.08	05:00:00	1.17130	1.17153	1.17104	1.17118	3072	0	1
2025.09.08	05:15:00	1.17117	1.17140	1.17101	1.17120	2245	0	1
2025.09.08	05:30:00	1.17120	1.17162	1.17111	1.17126	2053	0	1
2025.09.08	05:45:00	1.17126	1.17163	1.17126	1.17148	2081	0	1
2025.09.08	06:00:00	1.17147	1.17156	1.17124	1.17141	1975	0	1
2025.09.08	06:15:00	1.17142	1.17153	1.17116	1.17119	2036	0	1
2025.09.08	06:30:00	1.17120	1.17121	1.17090	1.17093	1850	0	1
2025.09.08	06:45:00	1.17095	1.17110	1.17079	1.17093	1927	0	1
2025.09.08	07:00:00	1.17094	1.17107	1.17060	1.17064	1679	0	1
2025.09.08	07:15:00	1.17062	1.17117	1.17062	1.17117	1430	0	1
2025.09.08	07:30:00	1.17115	1.17132	1.17109	1.17130	1230	0	1
2025.09.08	07:45:00	1.17131	1.17142	1.17126	1.17131	1443	0	1
2025.09.08	08:00:00	1.17129	1.17177	1.17120	1.17165	1480	0	1
2025.09.08	08:15:00	1.17165	1.17190	1.17152	1.17189	1723	0	1
2025.09.08	08:30:00	1.17189	1.17208	1.17154	1.17156	1975	0	1
2025.09.08	08:45:00	1.17154	1.17191	1.17143	1.17150	1980	0	1
2025.09.08	09:00:00	1.17151	1.17228	1.17142	1.17226	2920	0	1
2025.09.08	09:15:00	1.17225	1.17232	1.17117	1.17167	2890	0	1
2025.09.08	09:30:00	1.17168	1.17226	1.17138	1.17174	2821	0	0
2025.09.08	09:45:00	1.17175	1.17277	1.17164	1.17268	3035	0	1
2025.09.08	10:00:00	1.17268	1.17294	1.17202	1.17263	3448	0	1
2025.09.08	10:15:00	1.17262	1.17298	1.17235	1.17275	3020	0	1
2025.09.08	10:30:00	1.17276	1.17327	1.17267	1.17317	2984	0	1
2025.09.08	10:45:00	1.17318	1.17338	1.17280	1.17326	2839	0	1
2025.09.08	11:00:00	1.17327	1.17428	1.17319	1.17393	3278	0	0
2025.09.08	11:15:00	1.17391	1.17396	1.17274	1.17287	3115	0	1
2025.09.08	11:30:00	1.17287	1.17322	1.17280	1.17293	2446	0	1
2025.09.08	11:45:00	1.17294	1.17314	1.17256	1.17312	2554	0	1
2025.09.08	12:00:00	1.17311	1.17314	1.17206	1.17232	2935	0	1
2025.09.08	12:15:00	1.17231	1.17278	1.17211	1.17217	2350	0	1
2025.09.08	12:30:00	1.17215	1.17281	1.17213	1.17271	1830	0	1
2025.09.08	12:45:00	1.17270	1.17283	1.17236	1.17238	1869	0	1
2025.09.08	13:00:00	1.17237	1.17246	1.17197	1.17216	2288	0	1
2025.09.08	13:15:00	1.17216	1.17256	1.17204	1.17251	1810	0	1
2025.09.08	13:30:00	1.17253	1.17273	1.17215	1.17269	2260	0	1
2025.09.08	13:45:00	1.17267	1.17288	1.17255	1.17258	2415	0	1
2025.09.08	14:00:00	1.17256	1.17308	1.17254	1.17308	2114	0	1
