<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.26	07:30:00	1.11559	1.11559	1.11487	1.11500	293	0	1
2024.09.26	07:45:00	1.11499	1.11525	1.11337	1.11350	2584	0	1
2024.09.26	08:00:00	1.11350	1.11384	1.11259	1.11367	2357	0	1
2024.09.26	08:15:00	1.11366	1.11376	1.11259	1.11357	2175	0	1
2024.09.26	08:30:00	1.11356	1.11437	1.11340	1.11383	1922	0	1
2024.09.26	08:45:00	1.11383	1.11418	1.11345	1.11416	1656	0	1
2024.09.26	09:00:00	1.11417	1.11480	1.11417	1.11453	1506	0	1
2024.09.26	09:15:00	1.11453	1.11519	1.11440	1.11488	1499	0	1
2024.09.26	09:30:00	1.11487	1.11525	1.11469	1.11483	1615	0	1
2024.09.26	09:45:00	1.11482	1.11504	1.11429	1.11438	1382	0	1
2024.09.26	10:00:00	1.11438	1.11443	1.11398	1.11417	1681	0	1
2024.09.26	10:15:00	1.11417	1.11489	1.11409	1.11467	1458	0	1
2024.09.26	10:30:00	1.11467	1.11552	1.11443	1.11532	1806	0	1
2024.09.26	10:45:00	1.11533	1.11546	1.11510	1.11541	1443	0	1
2024.09.26	11:00:00	1.11541	1.11601	1.11540	1.11571	1342	0	1
2024.09.26	11:15:00	1.11572	1.11579	1.11482	1.11522	1559	0	1
2024.09.26	11:30:00	1.11522	1.11566	1.11505	1.11544	1536	0	1
2024.09.26	11:45:00	1.11544	1.11617	1.11502	1.11541	1591	0	1
2024.09.26	12:00:00	1.11541	1.11626	1.11527	1.11601	2280	0	1
2024.09.26	12:15:00	1.11603	1.11656	1.11576	1.11620	2138	0	1
2024.09.26	12:30:00	1.11619	1.11627	1.11376	1.11542	4011	0	1
2024.09.26	12:45:00	1.11542	1.11563	1.11503	1.11512	3086	0	1
2024.09.26	13:00:00	1.11512	1.11528	1.11401	1.11413	2942	0	1
2024.09.26	13:15:00	1.11413	1.11562	1.11369	1.11557	2289	0	1
2024.09.26	13:30:00	1.11557	1.11600	1.11434	1.11439	3342	0	1
2024.09.26	13:45:00	1.11440	1.11461	1.11347	1.11400	3184	0	1
2024.09.26	14:00:00	1.11402	1.11420	1.11258	1.11395	3305	0	1
2024.09.26	14:15:00	1.11396	1.11531	1.11363	1.11417	2888	0	1
2024.09.26	14:30:00	1.11416	1.11649	1.11405	1.11646	3179	0	1
2024.09.26	14:45:00	1.11645	1.11748	1.11642	1.11649	3344	0	1
2024.09.26	15:00:00	1.11648	1.11710	1.11643	1.11694	2632	0	1
2024.09.26	15:15:00	1.11694	1.11792	1.11693	1.11753	2148	0	1
2024.09.26	15:30:00	1.11753	1.11861	1.11748	1.11855	2081	0	1
2024.09.26	15:45:00	1.11855	1.11895	1.11828	1.11830	1808	0	1
2024.09.26	16:00:00	1.11830	1.11831	1.11705	1.11714	1831	0	1
2024.09.26	16:15:00	1.11715	1.11749	1.11677	1.11730	1957	0	1
2024.09.26	16:30:00	1.11730	1.11734	1.11681	1.11694	1790	0	1
2024.09.26	16:45:00	1.11697	1.11731	1.11664	1.11694	1848	0	1
2024.09.26	17:00:00	1.11692	1.11780	1.11685	1.11746	1876	0	1
2024.09.26	17:15:00	1.11745	1.11775	1.11703	1.11759	1915	0	1
2024.09.26	17:30:00	1.11759	1.11775	1.11736	1.11758	1379	0	1
2024.09.26	17:45:00	1.11759	1.11802	1.11749	1.11799	1255	0	1
2024.09.26	18:00:00	1.11799	1.11815	1.11777	1.11800	1608	0	1
2024.09.26	18:15:00	1.11800	1.11826	1.11772	1.11772	1322	0	1
2024.09.26	18:30:00	1.11772	1.11779	1.11734	1.11769	1294	0	1
2024.09.26	18:45:00	1.11768	1.11808	1.11764	1.11798	1504	0	1
2024.09.26	19:00:00	1.11799	1.11831	1.11791	1.11829	1175	0	1
2024.09.26	19:15:00	1.11829	1.11843	1.11801	1.11811	1080	0	1
2024.09.26	19:30:00	1.11811	1.11814	1.11772	1.11784	1018	0	1
2024.09.26	19:45:00	1.11784	1.11793	1.11763	1.11779	1089	0	1
2024.09.26	20:00:00	1.11780	1.11789	1.11753	1.11758	593	0	1
2024.09.26	20:15:00	1.11758	1.11759	1.11746	1.11749	287	0	1
2024.09.26	20:30:00	1.11749	1.11775	1.11747	1.11750	480	0	1
2024.09.26	20:45:00	1.11750	1.11763	1.11733	1.11745	508	0	1
2024.09.26	21:00:00	1.11745	1.11775	1.11745	1.11772	78	0	10
2024.09.26	21:15:00	1.11772	1.11772	1.11728	1.11750	233	0	10
2024.09.26	21:30:00	1.11750	1.11793	1.11747	1.11763	255	0	1
2024.09.26	21:45:00	1.11763	1.11771	1.11735	1.11735	179	0	10
2024.09.26	22:00:00	1.11745	1.11774	1.11745	1.11764	994	0	1
2024.09.26	22:15:00	1.11764	1.11771	1.11761	1.11766	314	0	1
2024.09.26	22:30:00	1.11766	1.11769	1.11763	1.11766	154	0	1
2024.09.26	22:45:00	1.11766	1.11767	1.11763	1.11763	101	0	1
2024.09.26	23:00:00	1.11767	1.11768	1.11754	1.11758	155	0	1
2024.09.26	23:15:00	1.11757	1.11761	1.11738	1.11742	305	0	1
2024.09.26	23:30:00	1.11741	1.11775	1.11738	1.11764	379	0	1
2024.09.26	23:45:00	1.11764	1.11774	1.11747	1.11770	559	0	1
2024.09.27	00:00:00	1.11769	1.11778	1.11714	1.11714	1065	0	1
2024.09.27	00:15:00	1.11715	1.11730	1.11702	1.11716	769	0	1
2024.09.27	00:30:00	1.11716	1.11720	1.11681	1.11697	1013	0	1
2024.09.27	00:45:00	1.11697	1.11742	1.11693	1.11695	1017	0	1
2024.09.27	01:00:00	1.11694	1.11720	1.11684	1.11704	1095	0	1
2024.09.27	01:15:00	1.11704	1.11722	1.11681	1.11699	1142	0	1
2024.09.27	01:30:00	1.11698	1.11703	1.11638	1.11639	1406	0	1
2024.09.27	01:45:00	1.11638	1.11659	1.11626	1.11645	1227	0	1
2024.09.27	02:00:00	1.11644	1.11688	1.11626	1.11688	1162	0	1
2024.09.27	02:15:00	1.11688	1.11693	1.11654	1.11657	902	0	1
2024.09.27	02:30:00	1.11658	1.11686	1.11655	1.11665	867	0	1
2024.09.27	02:45:00	1.11665	1.11699	1.11665	1.11692	622	0	1
2024.09.27	03:00:00	1.11691	1.11723	1.11690	1.11705	795	0	1
2024.09.27	03:15:00	1.11705	1.11726	1.11694	1.11720	861	0	1
2024.09.27	03:30:00	1.11719	1.11735	1.11709	1.11718	764	0	1
2024.09.27	03:45:00	1.11718	1.11722	1.11689	1.11694	752	0	1
2024.09.27	04:00:00	1.11694	1.11697	1.11653	1.11655	940	0	1
2024.09.27	04:15:00	1.11655	1.11666	1.11639	1.11648	703	0	1
2024.09.27	04:30:00	1.11649	1.11671	1.11649	1.11667	645	0	1
2024.09.27	04:45:00	1.11667	1.11669	1.11639	1.11648	762	0	1
2024.09.27	05:00:00	1.11648	1.11685	1.11642	1.11645	1299	0	1
2024.09.27	05:15:00	1.11645	1.11646	1.11593	1.11597	1583	0	1
2024.09.27	05:30:00	1.11596	1.11638	1.11594	1.11632	1544	0	1
2024.09.27	05:45:00	1.11629	1.11651	1.11585	1.11641	1220	0	1
2024.09.27	06:00:00	1.11640	1.11661	1.11608	1.11640	1460	0	1
2024.09.27	06:15:00	1.11640	1.11748	1.11627	1.11714	2821	0	1
2024.09.27	06:30:00	1.11713	1.11762	1.11623	1.11626	3149	0	1
2024.09.27	06:45:00	1.11595	1.11595	1.11404	1.11508	3287	0	1
2024.09.27	07:00:00	1.11508	1.11508	1.11331	1.11374	3170	0	1
2024.09.27	07:15:00	1.11373	1.11382	1.11251	1.11310	2836	0	1
2024.09.27	07:30:00	1.11310	1.11351	1.11261	1.11339	2510	0	1
2024.09.27	07:45:00	1.11340	1.11381	1.11291	1.11332	1920	0	1
2024.09.27	08:00:00	1.11332	1.11350	1.11264	1.11345	2027	0	1
2024.09.27	08:15:00	1.11345	1.11407	1.11332	1.11370	1989	0	1
2024.09.27	08:30:00	1.11371	1.11407	1.11341	1.11385	1681	0	1
2024.09.27	08:45:00	1.11386	1.11454	1.11359	1.11447	1602	0	1
2024.09.27	09:00:00	1.11447	1.11449	1.11372	1.11437	1687	0	1
2024.09.27	09:15:00	1.11437	1.11505	1.11413	1.11500	1589	0	1
2024.09.27	09:30:00	1.11496	1.11525	1.11472	1.11492	1752	0	1
2024.09.27	09:45:00	1.11492	1.11600	1.11492	1.11596	1517	0	1
2024.09.27	10:00:00	1.11596	1.11636	1.11557	1.11593	1614	0	1
2024.09.27	10:15:00	1.11592	1.11639	1.11572	1.11633	1444	0	1
2024.09.27	10:30:00	1.11634	1.11711	1.11633	1.11643	1594	0	1
2024.09.27	10:45:00	1.11644	1.11665	1.11611	1.11636	1425	0	1
2024.09.27	11:00:00	1.11635	1.11670	1.11624	1.11638	1537	0	1
2024.09.27	11:15:00	1.11638	1.11659	1.11591	1.11609	1613	0	1
2024.09.27	11:30:00	1.11609	1.11650	1.11599	1.11641	1373	0	1
2024.09.27	11:45:00	1.11640	1.11679	1.11614	1.11626	1438	0	1
2024.09.27	12:00:00	1.11626	1.11639	1.11572	1.11572	2135	0	1
2024.09.27	12:15:00	1.11574	1.11606	1.11538	1.11554	1847	0	1
2024.09.27	12:30:00	1.11554	1.11835	1.11546	1.11834	3905	0	1
2024.09.27	12:45:00	1.11834	1.12019	1.11812	1.12000	3137	0	1
2024.09.27	13:00:00	1.11995	1.12032	1.11915	1.11963	3700	0	1
2024.09.27	13:15:00	1.11962	1.11990	1.11853	1.11880	2503	0	1
2024.09.27	13:30:00	1.11881	1.11942	1.11857	1.11892	2674	0	1
2024.09.27	13:45:00	1.11892	1.11913	1.11797	1.11850	2149	0	1
2024.09.27	14:00:00	1.11849	1.11862	1.11762	1.11778	2196	0	1
2024.09.27	14:15:00	1.11778	1.11815	1.11734	1.11813	2301	0	1
2024.09.27	14:30:00	1.11813	1.11922	1.11805	1.11837	2460	0	1
2024.09.27	14:45:00	1.11837	1.11851	1.11694	1.11786	3123	0	1
2024.09.27	15:00:00	1.11788	1.11788	1.11681	1.11703	2459	0	1
2024.09.27	15:15:00	1.11700	1.11720	1.11635	1.11660	2051	0	1
2024.09.27	15:30:00	1.11660	1.11690	1.11579	1.11589	1727	0	1
2024.09.27	15:45:00	1.11589	1.11604	1.11541	1.11586	1825	0	1
2024.09.27	16:00:00	1.11586	1.11601	1.11533	1.11540	1891	0	1
