<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.06	09:30:00	1.17115	1.17131	1.16998	1.17010	3042	0	1
2025.10.06	09:45:00	1.17009	1.17016	1.16901	1.16935	3666	0	1
2025.10.06	10:00:00	1.16933	1.17048	1.16912	1.17037	3700	0	1
2025.10.06	10:15:00	1.17036	1.17102	1.17010	1.17095	2978	0	1
2025.10.06	10:30:00	1.17096	1.17121	1.16667	1.16669	4116	0	1
2025.10.06	10:45:00	1.16672	1.16790	1.16621	1.16627	4532	0	1
2025.10.06	11:00:00	1.16624	1.16652	1.16524	1.16557	4895	0	1
2025.10.06	11:15:00	1.16556	1.16680	1.16516	1.16676	3763	0	1
2025.10.06	11:30:00	1.16671	1.16769	1.16652	1.16763	3495	0	1
2025.10.06	11:45:00	1.16766	1.16795	1.16666	1.16676	3099	0	1
2025.10.06	12:00:00	1.16675	1.16697	1.16589	1.16658	2896	0	1
2025.10.06	12:15:00	1.16658	1.16668	1.16613	1.16637	2712	0	1
2025.10.06	12:30:00	1.16636	1.16679	1.16574	1.16579	2719	0	1
2025.10.06	12:45:00	1.16580	1.16677	1.16569	1.16662	2999	0	1
2025.10.06	13:00:00	1.16662	1.16669	1.16524	1.16567	2698	0	1
2025.10.06	13:15:00	1.16567	1.16629	1.16547	1.16628	2527	0	1
2025.10.06	13:30:00	1.16627	1.16639	1.16607	1.16618	1983	0	1
2025.10.06	13:45:00	1.16617	1.16660	1.16579	1.16632	2912	0	1
2025.10.06	14:00:00	1.16632	1.16686	1.16573	1.16679	2654	0	1
2025.10.06	14:15:00	1.16677	1.16750	1.16667	1.16747	2438	0	1
2025.10.06	14:30:00	1.16748	1.16788	1.16732	1.16753	2444	0	1
2025.10.06	14:45:00	1.16754	1.16777	1.16721	1.16751	2864	0	1
2025.10.06	15:00:00	1.16751	1.16846	1.16728	1.16791	4505	0	1
2025.10.06	15:15:00	1.16789	1.16823	1.16752	1.16785	3537	0	1
2025.10.06	15:30:00	1.16785	1.16852	1.16775	1.16826	3200	0	1
2025.10.06	15:45:00	1.16826	1.16897	1.16821	1.16888	3034	0	1
