<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.14	00:00:00	1.16272	1.16359	1.16272	1.16349	127	0	44
2025.11.14	00:15:00	1.16349	1.16352	1.16334	1.16349	35	0	26
2025.11.14	00:30:00	1.16352	1.16372	1.16338	1.16363	170	0	13
2025.11.14	00:45:00	1.16364	1.16367	1.16330	1.16349	184	0	5
2025.11.14	01:00:00	1.16359	1.16360	1.16249	1.16265	345	0	5
2025.11.14	01:15:00	1.16266	1.16269	1.16232	1.16262	273	0	5
2025.11.14	01:30:00	1.16262	1.16292	1.16238	1.16275	288	0	5
2025.11.14	01:45:00	1.16278	1.16302	1.16277	1.16300	218	0	5
2025.11.14	02:00:00	1.16298	1.16306	1.16268	1.16293	324	0	5
2025.11.14	02:15:00	1.16292	1.16334	1.16283	1.16329	375	0	5
2025.11.14	02:30:00	1.16327	1.16327	1.16280	1.16298	454	0	5
2025.11.14	02:45:00	1.16299	1.16329	1.16272	1.16327	647	0	5
2025.11.14	03:00:00	1.16328	1.16344	1.16298	1.16331	556	0	5
2025.11.14	03:15:00	1.16327	1.16373	1.16302	1.16322	511	0	5
2025.11.14	03:30:00	1.16322	1.16368	1.16309	1.16361	502	0	5
2025.11.14	03:45:00	1.16362	1.16388	1.16331	1.16331	414	0	5
2025.11.14	04:00:00	1.16329	1.16356	1.16296	1.16328	330	0	5
2025.11.14	04:15:00	1.16332	1.16371	1.16320	1.16344	411	0	5
2025.11.14	04:30:00	1.16344	1.16349	1.16316	1.16344	322	0	5
2025.11.14	04:45:00	1.16343	1.16362	1.16335	1.16354	292	0	5
2025.11.14	05:00:00	1.16354	1.16384	1.16352	1.16368	265	0	5
2025.11.14	05:15:00	1.16369	1.16405	1.16366	1.16404	244	0	5
2025.11.14	05:30:00	1.16405	1.16446	1.16405	1.16434	360	0	5
2025.11.14	05:45:00	1.16433	1.16434	1.16377	1.16381	462	0	5
2025.11.14	06:00:00	1.16381	1.16428	1.16377	1.16411	266	0	5
2025.11.14	06:15:00	1.16410	1.16415	1.16398	1.16402	303	0	5
2025.11.14	06:30:00	1.16401	1.16413	1.16380	1.16405	243	0	5
2025.11.14	06:45:00	1.16406	1.16421	1.16378	1.16417	241	0	5
2025.11.14	07:00:00	1.16418	1.16437	1.16405	1.16420	421	0	5
2025.11.14	07:15:00	1.16421	1.16449	1.16417	1.16425	392	0	5
2025.11.14	07:30:00	1.16424	1.16449	1.16424	1.16430	243	0	5
2025.11.14	07:45:00	1.16430	1.16481	1.16391	1.16475	433	0	5
2025.11.14	08:00:00	1.16475	1.16484	1.16431	1.16433	413	0	5
2025.11.14	08:15:00	1.16432	1.16434	1.16388	1.16392	503	0	5
2025.11.14	08:30:00	1.16392	1.16423	1.16378	1.16380	443	0	5
2025.11.14	08:45:00	1.16378	1.16378	1.16332	1.16374	623	0	5
2025.11.14	09:00:00	1.16375	1.16426	1.16374	1.16420	600	0	5
2025.11.14	09:15:00	1.16419	1.16461	1.16350	1.16364	800	0	5
2025.11.14	09:30:00	1.16364	1.16414	1.16355	1.16405	916	0	5
2025.11.14	09:45:00	1.16410	1.16420	1.16314	1.16324	1006	0	5
2025.11.14	10:00:00	1.16324	1.16355	1.16254	1.16256	1462	0	5
2025.11.14	10:15:00	1.16254	1.16279	1.16202	1.16254	1003	0	5
2025.11.14	10:30:00	1.16253	1.16369	1.16253	1.16336	1442	0	5
2025.11.14	10:45:00	1.16335	1.16357	1.16288	1.16293	1273	0	5
2025.11.14	11:00:00	1.16291	1.16301	1.16240	1.16278	927	0	5
2025.11.14	11:15:00	1.16279	1.16310	1.16242	1.16267	845	0	5
2025.11.14	11:30:00	1.16267	1.16303	1.16230	1.16232	771	0	5
2025.11.14	11:45:00	1.16234	1.16258	1.16202	1.16216	615	0	5
2025.11.14	12:00:00	1.16213	1.16216	1.16170	1.16206	642	0	5
2025.11.14	12:15:00	1.16206	1.16211	1.16138	1.16138	512	0	5
2025.11.14	12:30:00	1.16139	1.16152	1.16123	1.16147	584	0	5
2025.11.14	12:45:00	1.16146	1.16182	1.16130	1.16134	542	0	5
2025.11.14	13:00:00	1.16132	1.16156	1.16089	1.16110	712	0	5
2025.11.14	13:15:00	1.16109	1.16127	1.16087	1.16105	703	0	5
2025.11.14	13:30:00	1.16106	1.16167	1.16103	1.16141	555	0	5
2025.11.14	13:45:00	1.16141	1.16196	1.16133	1.16193	656	0	5
2025.11.14	14:00:00	1.16193	1.16276	1.16167	1.16273	773	0	5
2025.11.14	14:15:00	1.16275	1.16318	1.16235	1.16306	1022	0	5
2025.11.14	14:30:00	1.16303	1.16419	1.16299	1.16409	1066	0	5
2025.11.14	14:45:00	1.16409	1.16525	1.16404	1.16523	1332	0	5
2025.11.14	15:00:00	1.16524	1.16536	1.16442	1.16465	1506	0	5
2025.11.14	15:15:00	1.16466	1.16529	1.16439	1.16445	1129	0	5
2025.11.14	15:30:00	1.16444	1.16495	1.16404	1.16416	1448	0	5
2025.11.14	15:45:00	1.16417	1.16429	1.16337	1.16374	1488	0	5
2025.11.14	16:00:00	1.16375	1.16380	1.16283	1.16330	1139	0	5
2025.11.14	16:15:00	1.16330	1.16375	1.16306	1.16327	1180	0	5
2025.11.14	16:30:00	1.16327	1.16382	1.16280	1.16297	2089	0	5
2025.11.14	16:45:00	1.16295	1.16309	1.16208	1.16231	1589	0	5
2025.11.14	17:00:00	1.16230	1.16237	1.16151	1.16236	1605	0	5
2025.11.14	17:15:00	1.16236	1.16253	1.16178	1.16186	1343	0	5
2025.11.14	17:30:00	1.16185	1.16223	1.16108	1.16121	1261	0	5
2025.11.14	17:45:00	1.16118	1.16136	1.16061	1.16130	1255	0	5
2025.11.14	18:00:00	1.16129	1.16197	1.16097	1.16197	1137	0	5
2025.11.14	18:15:00	1.16196	1.16225	1.16151	1.16168	896	0	5
2025.11.14	18:30:00	1.16168	1.16205	1.16132	1.16172	772	0	5
