<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.12	09:30:00	1.17246	1.17320	1.17224	1.17310	2395	0	1
2025.09.12	09:45:00	1.17312	1.17404	1.17301	1.17391	2419	0	1
2025.09.12	10:00:00	1.17392	1.17477	1.17389	1.17430	2944	0	1
2025.09.12	10:15:00	1.17431	1.17475	1.17422	1.17436	2703	0	1
2025.09.12	10:30:00	1.17437	1.17437	1.17368	1.17381	2734	0	1
2025.09.12	10:45:00	1.17380	1.17419	1.17376	1.17404	2536	0	1
2025.09.12	11:00:00	1.17406	1.17410	1.17302	1.17314	2917	0	1
2025.09.12	11:15:00	1.17312	1.17324	1.17249	1.17320	3451	0	1
2025.09.12	11:30:00	1.17318	1.17323	1.17206	1.17207	2686	0	1
2025.09.12	11:45:00	1.17208	1.17210	1.17152	1.17172	2859	0	1
2025.09.12	12:00:00	1.17170	1.17191	1.17125	1.17175	3006	0	1
2025.09.12	12:15:00	1.17177	1.17239	1.17169	1.17231	2435	0	1
2025.09.12	12:30:00	1.17232	1.17252	1.17153	1.17162	2384	0	1
2025.09.12	12:45:00	1.17164	1.17224	1.17159	1.17220	2266	0	1
2025.09.12	13:00:00	1.17220	1.17276	1.17219	1.17239	2310	0	1
2025.09.12	13:15:00	1.17241	1.17302	1.17235	1.17296	1842	0	1
2025.09.12	13:30:00	1.17296	1.17345	1.17277	1.17334	2108	0	1
2025.09.12	13:45:00	1.17335	1.17348	1.17307	1.17340	2141	0	1
2025.09.12	14:00:00	1.17338	1.17354	1.17302	1.17320	2457	0	1
2025.09.12	14:15:00	1.17319	1.17322	1.17256	1.17270	2045	0	1
2025.09.12	14:30:00	1.17271	1.17289	1.17230	1.17243	1974	0	1
2025.09.12	14:45:00	1.17244	1.17266	1.17204	1.17210	2523	0	1
2025.09.12	15:00:00	1.17212	1.17228	1.17144	1.17161	2857	0	1
2025.09.12	15:15:00	1.17160	1.17195	1.17096	1.17125	3124	0	0
2025.09.12	15:30:00	1.17127	1.17128	1.17010	1.17036	4281	0	1
2025.09.12	15:45:00	1.17036	1.17136	1.17026	1.17122	3906	0	1
2025.09.12	16:00:00	1.17122	1.17165	1.17094	1.17138	3405	0	1
2025.09.12	16:15:00	1.17136	1.17150	1.17107	1.17119	3111	0	1
2025.09.12	16:30:00	1.17119	1.17148	1.17032	1.17069	4056	0	1
2025.09.12	16:45:00	1.17067	1.17162	1.17064	1.17123	3110	0	1
2025.09.12	17:00:00	1.17122	1.17243	1.17117	1.17145	4216	0	1
2025.09.12	17:15:00	1.17145	1.17281	1.17137	1.17248	4020	0	1
2025.09.12	17:30:00	1.17248	1.17255	1.17168	1.17180	3614	0	1
2025.09.12	17:45:00	1.17179	1.17275	1.17155	1.17250	3879	0	1
2025.09.12	18:00:00	1.17250	1.17278	1.17218	1.17234	3577	0	1
2025.09.12	18:15:00	1.17234	1.17269	1.17161	1.17195	2772	0	1
2025.09.12	18:30:00	1.17193	1.17210	1.17157	1.17199	2512	0	1
2025.09.12	18:45:00	1.17198	1.17213	1.17131	1.17137	2368	0	1
2025.09.12	19:00:00	1.17139	1.17147	1.17099	1.17132	2235	0	0
2025.09.12	19:15:00	1.17131	1.17203	1.17127	1.17202	1943	0	1
2025.09.12	19:30:00	1.17202	1.17291	1.17194	1.17291	2011	0	1
2025.09.12	19:45:00	1.17290	1.17317	1.17258	1.17267	1990	0	1
2025.09.12	20:00:00	1.17269	1.17347	1.17267	1.17339	1811	0	1
2025.09.12	20:15:00	1.17338	1.17374	1.17332	1.17335	2020	0	1
2025.09.12	20:30:00	1.17335	1.17364	1.17331	1.17347	1665	0	1
2025.09.12	20:45:00	1.17348	1.17378	1.17319	1.17321	1838	0	1
2025.09.12	21:00:00	1.17322	1.17359	1.17320	1.17354	1986	0	1
2025.09.12	21:15:00	1.17355	1.17366	1.17330	1.17358	1589	0	1
2025.09.12	21:30:00	1.17357	1.17397	1.17353	1.17392	1458	0	1
2025.09.12	21:45:00	1.17391	1.17418	1.17385	1.17410	2122	0	1
2025.09.12	22:00:00	1.17409	1.17415	1.17364	1.17377	1731	0	1
2025.09.12	22:15:00	1.17376	1.17391	1.17362	1.17377	1507	0	1
2025.09.12	22:30:00	1.17377	1.17378	1.17343	1.17360	1732	0	1
2025.09.12	22:45:00	1.17359	1.17379	1.17337	1.17363	1735	0	1
2025.09.12	23:00:00	1.17359	1.17365	1.17300	1.17300	1212	0	1
2025.09.12	23:15:00	1.17300	1.17325	1.17295	1.17322	1230	0	1
2025.09.12	23:30:00	1.17319	1.17319	1.17285	1.17295	1384	0	1
2025.09.12	23:45:00	1.17294	1.17354	1.17292	1.17310	1606	0	1
2025.09.15	00:00:00	1.17280	1.17326	1.17278	1.17295	218	0	25
2025.09.15	00:15:00	1.17297	1.17303	1.17284	1.17284	128	0	29
2025.09.15	00:30:00	1.17284	1.17289	1.17284	1.17288	104	0	24
2025.09.15	00:45:00	1.17287	1.17295	1.17286	1.17287	77	0	25
2025.09.15	01:00:00	1.17289	1.17347	1.17276	1.17338	784	0	1
2025.09.15	01:15:00	1.17338	1.17347	1.17319	1.17326	324	0	1
2025.09.15	01:30:00	1.17325	1.17331	1.17297	1.17300	404	0	2
2025.09.15	01:45:00	1.17301	1.17301	1.17276	1.17284	464	0	1
2025.09.15	02:00:00	1.17282	1.17311	1.17249	1.17268	814	0	1
2025.09.15	02:15:00	1.17266	1.17277	1.17261	1.17261	795	0	2
2025.09.15	02:30:00	1.17261	1.17275	1.17249	1.17269	827	0	1
2025.09.15	02:45:00	1.17270	1.17272	1.17249	1.17253	772	0	1
2025.09.15	03:00:00	1.17255	1.17278	1.17222	1.17261	1417	0	1
2025.09.15	03:15:00	1.17261	1.17266	1.17221	1.17227	1191	0	1
2025.09.15	03:30:00	1.17227	1.17252	1.17217	1.17246	1186	0	1
2025.09.15	03:45:00	1.17245	1.17268	1.17217	1.17268	1263	0	1
2025.09.15	04:00:00	1.17268	1.17271	1.17226	1.17251	2080	0	1
2025.09.15	04:15:00	1.17252	1.17276	1.17242	1.17270	1591	0	1
2025.09.15	04:30:00	1.17272	1.17289	1.17251	1.17270	1387	0	1
2025.09.15	04:45:00	1.17270	1.17295	1.17259	1.17275	1593	0	1
2025.09.15	05:00:00	1.17275	1.17285	1.17250	1.17258	1250	0	1
2025.09.15	05:15:00	1.17259	1.17261	1.17244	1.17245	1112	0	1
2025.09.15	05:30:00	1.17247	1.17276	1.17244	1.17267	1090	0	1
2025.09.15	05:45:00	1.17266	1.17293	1.17265	1.17275	1128	0	1
2025.09.15	06:00:00	1.17275	1.17292	1.17270	1.17285	918	0	1
2025.09.15	06:15:00	1.17286	1.17321	1.17272	1.17320	995	0	1
2025.09.15	06:30:00	1.17318	1.17322	1.17294	1.17318	1082	0	1
2025.09.15	06:45:00	1.17319	1.17343	1.17303	1.17309	1093	0	1
2025.09.15	07:00:00	1.17311	1.17340	1.17309	1.17325	913	0	1
2025.09.15	07:15:00	1.17325	1.17354	1.17323	1.17339	800	0	1
2025.09.15	07:30:00	1.17338	1.17338	1.17307	1.17318	781	0	1
2025.09.15	07:45:00	1.17318	1.17340	1.17308	1.17339	886	0	1
2025.09.15	08:00:00	1.17338	1.17344	1.17309	1.17312	1088	0	1
2025.09.15	08:15:00	1.17313	1.17318	1.17292	1.17294	944	0	2
2025.09.15	08:30:00	1.17296	1.17301	1.17283	1.17284	761	0	1
2025.09.15	08:45:00	1.17285	1.17295	1.17276	1.17283	1129	0	1
2025.09.15	09:00:00	1.17284	1.17298	1.17258	1.17264	2023	0	1
2025.09.15	09:15:00	1.17263	1.17264	1.17181	1.17188	2459	0	1
2025.09.15	09:30:00	1.17187	1.17205	1.17160	1.17202	2497	0	1
2025.09.15	09:45:00	1.17203	1.17261	1.17200	1.17250	2459	0	1
2025.09.15	10:00:00	1.17250	1.17362	1.17240	1.17339	3302	0	1
2025.09.15	10:15:00	1.17340	1.17383	1.17338	1.17366	2567	0	1
2025.09.15	10:30:00	1.17365	1.17441	1.17357	1.17359	2497	0	1
2025.09.15	10:45:00	1.17357	1.17367	1.17305	1.17335	2973	0	1
2025.09.15	11:00:00	1.17335	1.17350	1.17311	1.17347	2731	0	1
2025.09.15	11:15:00	1.17345	1.17436	1.17341	1.17373	2630	0	1
2025.09.15	11:30:00	1.17374	1.17415	1.17297	1.17319	2686	0	1
2025.09.15	11:45:00	1.17320	1.17397	1.17317	1.17370	2308	0	1
2025.09.15	12:00:00	1.17369	1.17419	1.17360	1.17396	2101	0	1
2025.09.15	12:15:00	1.17398	1.17470	1.17393	1.17470	2372	0	1
2025.09.15	12:30:00	1.17469	1.17516	1.17459	1.17475	2327	0	1
2025.09.15	12:45:00	1.17476	1.17481	1.17445	1.17461	2240	0	1
2025.09.15	13:00:00	1.17462	1.17544	1.17460	1.17497	2281	0	1
2025.09.15	13:15:00	1.17497	1.17626	1.17491	1.17591	2677	0	1
2025.09.15	13:30:00	1.17592	1.17628	1.17549	1.17553	2309	0	1
2025.09.15	13:45:00	1.17552	1.17559	1.17517	1.17528	2346	0	1
2025.09.15	14:00:00	1.17528	1.17571	1.17527	1.17571	1877	0	1
2025.09.15	14:15:00	1.17571	1.17596	1.17556	1.17587	2129	0	1
2025.09.15	14:30:00	1.17588	1.17625	1.17555	1.17556	2617	0	1
2025.09.15	14:45:00	1.17556	1.17632	1.17555	1.17608	2448	0	1
2025.09.15	15:00:00	1.17610	1.17670	1.17609	1.17659	2783	0	1
2025.09.15	15:15:00	1.17661	1.17708	1.17631	1.17631	2947	0	1
2025.09.15	15:30:00	1.17634	1.17709	1.17633	1.17668	3118	0	1
2025.09.15	15:45:00	1.17668	1.17701	1.17653	1.17695	2632	0	1
2025.09.15	16:00:00	1.17696	1.17732	1.17624	1.17630	3161	0	1
2025.09.15	16:15:00	1.17629	1.17634	1.17576	1.17607	3134	0	1
2025.09.15	16:30:00	1.17606	1.17662	1.17584	1.17652	3249	0	1
2025.09.15	16:45:00	1.17653	1.17681	1.17575	1.17586	3312	0	1
2025.09.15	17:00:00	1.17588	1.17588	1.17531	1.17545	3576	0	1
2025.09.15	17:15:00	1.17544	1.17553	1.17505	1.17542	2887	0	1
2025.09.15	17:30:00	1.17542	1.17605	1.17526	1.17541	2870	0	1
2025.09.15	17:45:00	1.17542	1.17595	1.17535	1.17578	3162	0	1
2025.09.15	18:00:00	1.17576	1.17611	1.17563	1.17599	2768	0	1
2025.09.15	18:15:00	1.17597	1.17658	1.17596	1.17650	2475	0	1
2025.09.15	18:30:00	1.17649	1.17672	1.17618	1.17619	2168	0	1
2025.09.15	18:45:00	1.17619	1.17722	1.17607	1.17713	2646	0	1
2025.09.15	19:00:00	1.17714	1.17744	1.17649	1.17651	2546	0	1
2025.09.15	19:15:00	1.17651	1.17668	1.17589	1.17591	2027	0	1
2025.09.15	19:30:00	1.17593	1.17638	1.17577	1.17617	1914	0	1
2025.09.15	19:45:00	1.17615	1.17626	1.17560	1.17582	1791	0	1
2025.09.15	20:00:00	1.17582	1.17613	1.17578	1.17596	1625	0	1
2025.09.15	20:15:00	1.17594	1.17630	1.17579	1.17630	1426	0	1
2025.09.15	20:30:00	1.17629	1.17693	1.17628	1.17680	1730	0	1
2025.09.15	20:45:00	1.17681	1.17728	1.17678	1.17709	1783	0	1
2025.09.15	21:00:00	1.17709	1.17721	1.17691	1.17694	1769	0	1
2025.09.15	21:15:00	1.17693	1.17700	1.17668	1.17689	1510	0	1
2025.09.15	21:30:00	1.17687	1.17703	1.17660	1.17688	1818	0	1
2025.09.15	21:45:00	1.17688	1.17700	1.17671	1.17692	1870	0	1
2025.09.15	22:00:00	1.17694	1.17713	1.17685	1.17704	1579	0	2
2025.09.15	22:15:00	1.17703	1.17715	1.17685	1.17709	1349	0	1
2025.09.15	22:30:00	1.17709	1.17720	1.17677	1.17689	1341	0	1
2025.09.15	22:45:00	1.17687	1.17689	1.17641	1.17656	1995	0	1
2025.09.15	23:00:00	1.17654	1.17685	1.17640	1.17669	979	0	2
2025.09.15	23:15:00	1.17669	1.17684	1.17623	1.17626	899	0	1
2025.09.15	23:30:00	1.17627	1.17631	1.17603	1.17609	1015	0	1
2025.09.15	23:45:00	1.17607	1.17625	1.17597	1.17611	1233	0	1
2025.09.16	00:00:00	1.17610	1.17632	1.17562	1.17631	71	0	6
2025.09.16	00:15:00	1.17631	1.17642	1.17620	1.17641	82	0	33
2025.09.16	00:30:00	1.17640	1.17642	1.17618	1.17637	245	0	25
2025.09.16	00:45:00	1.17638	1.17658	1.17634	1.17651	363	0	14
2025.09.16	01:00:00	1.17652	1.17660	1.17619	1.17632	545	0	1
