<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.03	09:00:00	1.16297	1.16327	1.16282	1.16322	2334	0	1
2025.09.03	09:15:00	1.16323	1.16355	1.16298	1.16353	2084	0	1
2025.09.03	09:30:00	1.16354	1.16428	1.16353	1.16389	2817	0	1
2025.09.03	09:45:00	1.16389	1.16395	1.16318	1.16333	2587	0	1
2025.09.03	10:00:00	1.16330	1.16341	1.16281	1.16299	3256	0	1
2025.09.03	10:15:00	1.16300	1.16301	1.16079	1.16177	4445	0	1
2025.09.03	10:30:00	1.16176	1.16291	1.16175	1.16227	3776	0	1
2025.09.03	10:45:00	1.16227	1.16361	1.16224	1.16357	3581	0	1
2025.09.03	11:00:00	1.16357	1.16488	1.16353	1.16468	3810	0	1
2025.09.03	11:15:00	1.16469	1.16573	1.16455	1.16518	3177	0	1
2025.09.03	11:30:00	1.16517	1.16522	1.16429	1.16455	2887	0	0
2025.09.03	11:45:00	1.16455	1.16577	1.16454	1.16563	3124	0	1
2025.09.03	12:00:00	1.16562	1.16603	1.16534	1.16540	2988	0	1
2025.09.03	12:15:00	1.16539	1.16570	1.16519	1.16557	2687	0	1
2025.09.03	12:30:00	1.16556	1.16647	1.16554	1.16636	3014	0	1
2025.09.03	12:45:00	1.16634	1.16645	1.16539	1.16562	2869	0	1
2025.09.03	13:00:00	1.16563	1.16578	1.16514	1.16520	2607	0	1
2025.09.03	13:15:00	1.16522	1.16544	1.16473	1.16477	2424	0	1
2025.09.03	13:30:00	1.16475	1.16475	1.16396	1.16397	2756	0	1
2025.09.03	13:45:00	1.16398	1.16448	1.16396	1.16436	2439	0	1
2025.09.03	14:00:00	1.16435	1.16473	1.16416	1.16455	2492	0	1
2025.09.03	14:15:00	1.16457	1.16464	1.16398	1.16406	2451	0	1
2025.09.03	14:30:00	1.16406	1.16474	1.16405	1.16448	2745	0	1
2025.09.03	14:45:00	1.16447	1.16545	1.16440	1.16515	2889	0	1
2025.09.03	15:00:00	1.16516	1.16584	1.16509	1.16568	3144	0	1
2025.09.03	15:15:00	1.16569	1.16588	1.16513	1.16546	2951	0	1
2025.09.03	15:30:00	1.16546	1.16573	1.16447	1.16454	3376	0	0
2025.09.03	15:45:00	1.16455	1.16524	1.16444	1.16480	3679	0	1
2025.09.03	16:00:00	1.16482	1.16490	1.16419	1.16464	3856	0	0
2025.09.03	16:15:00	1.16464	1.16485	1.16434	1.16481	3533	0	1
2025.09.03	16:30:00	1.16481	1.16528	1.16411	1.16464	4313	0	1
2025.09.03	16:45:00	1.16464	1.16540	1.16382	1.16490	4395	0	1
2025.09.03	17:00:00	1.16492	1.16767	1.16481	1.16692	5602	0	1
2025.09.03	17:15:00	1.16691	1.16803	1.16691	1.16762	4765	0	1
2025.09.03	17:30:00	1.16762	1.16785	1.16670	1.16716	4445	0	1
2025.09.03	17:45:00	1.16715	1.16725	1.16608	1.16635	4350	0	1
2025.09.03	18:00:00	1.16634	1.16815	1.16629	1.16772	4395	0	1
2025.09.03	18:15:00	1.16773	1.16818	1.16722	1.16796	3745	0	1
2025.09.03	18:30:00	1.16797	1.16821	1.16738	1.16742	3710	0	1
2025.09.03	18:45:00	1.16742	1.16801	1.16719	1.16749	3225	0	1
2025.09.03	19:00:00	1.16751	1.16754	1.16680	1.16708	3046	0	1
2025.09.03	19:15:00	1.16707	1.16717	1.16665	1.16703	2353	0	1
2025.09.03	19:30:00	1.16703	1.16728	1.16686	1.16691	1981	0	1
